date,theme_name,grade,avg_rsi,total_trade_value,avg_disparity_20,total_sm_flow,avg_macd_hist,vol_ma20,volume_spike,prev_macd_hist,macd_improving,next_grade,target
2025-09-11,건강기능식품,6등급,51.55230769230769,118877437055.0,100.04322358603385,0.0,-89.11076923076924,123348263526.1,0.9637544433679522,-86.05384615384615,0,6등급,0
2025-10-01,건강기능식품,6등급,47.01692307692308,216303418645.0,99.87404673012205,0.0,-66.69384615384615,189703252057.1,1.1402198765675005,-56.0,0,6등급,0
2025-10-02,건강기능식품,6등급,44.94461538461538,173781161795.0,98.23968813382348,0.0,-98.66,197063001335.1,0.881855856338502,-66.69384615384615,0,6등급,0
2025-10-10,건강기능식품,6등급,41.58384615384615,123892286186.0,96.87789420885258,0.0,-121.49076923076923,200978211040.55,0.616446357764639,-98.66,0,6등급,0
2025-10-13,건강기능식품,6등급,37.62769230769231,121086293825.0,94.49410095725443,0.0,-165.59230769230768,203208325380.1,0.5958727015662807,-121.49076923076923,0,6등급,0
2025-10-16,건강기능식품,6등급,40.01615384615385,93266432220.0,94.63317976106912,0.0,-159.81692307692308,199455426693.2,0.4676053881625458,-169.70153846153846,1,2등급,1
2025-10-24,건강기능식품,6등급,36.566923076923075,129474667950.0,94.29489343422856,0.0,-111.56692307692308,177133713029.6,0.730943114868055,-116.13384615384615,1,2등급,1
2025-11-03,건강기능식품,6등급,37.21846153846154,239654952498.0,97.19431654419661,0.0,-15.473846153846154,157118202819.1,1.5253162790687576,-22.08,1,2등급,1
2025-11-10,건강기능식품,6등급,43.88,107625118835.0,99.8600906071496,73032.0,75.33538461538461,147228084146.4,0.7310094365418776,60.03846153846154,1,6등급,0
2025-11-18,건강기능식품,6등급,42.723076923076924,87070927607.0,97.4079741425497,-151142.0,68.71846153846154,165283043896.3,0.5267989114577842,113.38692307692308,0,6등급,0
2025-11-19,건강기능식품,6등급,42.646153846153844,124608600286.0,97.07614361648325,145351.0,44.61,165080924037.9,0.7548334310110344,68.71846153846154,0,6등급,0
2025-11-20,건강기능식품,6등급,46.90846153846154,206841409320.0,99.31271037803688,619819.0,38.283076923076926,169009164698.35,1.2238472966195266,44.61,0,6등급,0
2025-11-25,건강기능식품,6등급,41.62769230769231,97401333445.0,96.3429339687052,-125156.0,-17.775384615384617,176677496823.85,0.5512945066349367,31.26923076923077,0,6등급,0
2025-11-26,건강기능식품,6등급,45.004615384615384,126980798250.0,98.12399217430966,354925.0,-19.564615384615383,177616981844.6,0.7149136131650834,-17.775384615384617,0,6등급,0
2025-11-27,건강기능식품,6등급,45.95230769230769,55578492606.0,98.42978168211717,-176903.0,-16.585384615384616,180523713138.85,0.3078736396434065,-19.564615384615383,1,6등급,0
2025-11-28,건강기능식품,6등급,50.143076923076926,82500466025.0,100.37024911518068,348008.0,14.276153846153846,180251707201.15,0.4576958926271609,-16.585384615384616,1,6등급,0
2025-12-01,건강기능식품,6등급,49.48230769230769,83898331260.0,99.97050698223832,-136744.0,15.923076923076923,181174169451.15,0.4630810866370303,14.276153846153846,1,6등급,0
2025-12-02,건강기능식품,6등급,49.48153846153846,73136646944.0,99.83735723768241,53579.0,21.716923076923077,173386338389.25,0.4218132041049809,15.923076923076923,1,6등급,0
2025-12-05,건강기능식품,6등급,48.84461538461539,57730896530.0,99.62599415088505,-86467.0,9.586923076923076,123759207920.3,0.46647758579045095,22.01153846153846,0,6등급,0
2025-12-08,건강기능식품,6등급,46.673846153846156,57199853240.0,98.74529117293241,-86111.0,-19.11846153846154,116960398322.05,0.48905316723101805,9.586923076923076,0,2등급,1
2025-12-15,건강기능식품,6등급,49.31846153846154,244035554330.0,102.30316463748893,-705921.0,102.34538461538462,192671552345.95,1.266588405805875,88.60153846153847,1,1등급,1
