stock_code,stock_name,corp_cls,per,pbr,eps,bps,div
124560,태웅로직스,일반기업,3.13,0.44,835.0,5944.0,3.82
079960,동양이엔피,일반기업,3.16,0.54,8912.0,51821.0,2.13
053270,구영테크,일반기업,3.2,0.45,698.0,5003.0,2.68
151860,KG에코솔루션,일반기업,3.21,0.19,1876.0,32529.0,1.99
041190,우리기술투자,일반기업,3.24,0.72,1897.0,8555.0,0.0
032750,삼진,일반기업,3.33,0.28,1002.0,11813.0,2.4
071200,인피니트헬스케어,일반기업,3.36,0.83,1802.0,7298.0,0.0
012030,DB,일반기업,3.38,0.8,486.0,2060.0,0.0
053950,경남제약,일반기업,3.38,0.53,232.0,1474.0,0.0
003650,미창석유공업,일반기업,3.38,0.43,34783.0,272644.0,2.56
018500,동원금속,일반기업,3.43,0.55,453.0,2844.0,3.22
005710,대원산업,일반기업,3.45,0.49,3624.0,25572.0,1.6
054940,엑사이엔씨,일반기업,3.51,0.34,203.0,2079.0,0.0
376290,씨유테크,일반기업,3.55,0.41,768.0,6651.0,8.48
066620,국보디자인,일반기업,3.57,0.52,6161.0,42335.0,2.27
046310,백금T&A,일반기업,3.6,0.66,817.0,4436.0,3.4
018310,삼목에스폼,일반기업,3.61,0.42,5148.0,44614.0,1.08
